INFO 2014-03-20 14:28:08,533 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/binary.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,540 crawler 949 140735266841360 link <a class="reference internal" href="bson/regex.html"><tt class="docutils literal"><span class="pre">regex</span></tt> – Tools for representing MongoDB regular expressions</a>
INFO 2014-03-20 14:28:08,541 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/regex.html
INFO 2014-03-20 14:28:08,552 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/regex.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,559 crawler 949 140735266841360 link <a class="reference internal" href="bson/code.html"><tt class="docutils literal"><span class="pre">code</span></tt> – Tools for representing JavaScript code</a>
INFO 2014-03-20 14:28:08,560 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/code.html
INFO 2014-03-20 14:28:08,562 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/code.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,569 crawler 949 140735266841360 link <a class="reference internal" href="bson/dbref.html"><tt class="docutils literal"><span class="pre">dbref</span></tt> – Tools for manipulating DBRefs (references to documents stored in MongoDB)</a>
INFO 2014-03-20 14:28:08,570 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/dbref.html
INFO 2014-03-20 14:28:08,572 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/dbref.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,579 crawler 949 140735266841360 link <a class="reference internal" href="bson/errors.html"><tt class="docutils literal"><span class="pre">errors</span></tt> – Exceptions raised by the <tt class="docutils literal"><span class="pre">bson</span></tt> package</a>
INFO 2014-03-20 14:28:08,580 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/errors.html
INFO 2014-03-20 14:28:08,582 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/errors.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,589 crawler 949 140735266841360 link <a class="reference internal" href="bson/json_util.html"><tt class="docutils literal"><span class="pre">json_util</span></tt> – Tools for using Python’s <tt class="docutils literal"><span class="pre">json</span></tt> module with BSON documents</a>
INFO 2014-03-20 14:28:08,592 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/json_util.html
INFO 2014-03-20 14:28:08,595 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/json_util.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,603 crawler 949 140735266841360 link <a class="reference internal" href="bson/max_key.html"><tt class="docutils literal"><span class="pre">max_key</span></tt> – Representation for the MongoDB internal MaxKey type</a>
INFO 2014-03-20 14:28:08,604 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/max_key.html
